target   ,Delta_LogP                  ,related_logprob     ,unrelated_logprob
word_364 ,                            ,                    ,
word_366 ,                            ,-22.4057636         ,
word_368 ,                            ,                    ,
word_370 ,                            ,                    ,
word_372 ,-0.045999914796239896       ,-0.0580027088346399 ,-0.0120027940384
word_374 ,                            ,                    ,
word_376 ,                            ,                    ,
word_378 ,                            ,                    ,
word_380 ,                            ,                    ,
word_382 ,                            ,                    ,
word_384 ,0.40958474                  ,-0.074440510075     ,-0.484025250075
word_386 ,                            ,-11.984793624056598 ,
word_388 ,                            ,                    ,
word_390 ,                            ,-12.257493107897    ,
word_392 ,                            ,                    ,
word_394 ,                            ,                    ,
word_396 ,                            ,                    ,
word_398 ,                            ,-5.7768741087043    ,
word_400 ,-0.00708457426              ,-0.0073181503       ,-0.00023357604
word_402 ,                            ,-0.44144508         ,
word_404 ,2.3926619999999996          ,-10.653222          ,-13.045884
word_406 ,0.19692507999999997         ,-0.1026538          ,-0.29957888
word_408 ,2.3323874730000003          ,-0.024228027        ,-2.3566155
word_410 ,                            ,-10.635773          ,
word_412 ,6.2007323                   ,-3.0493767          ,-9.250109
word_414 ,0.312643371                 ,-0.030637149        ,-0.34328052
word_416 ,11.3393966                  ,-2.2871764          ,-13.626573
word_418 ,                            ,-3.2288387          ,
word_420 ,                            ,                    ,
word_422 ,                            ,                    ,
word_424 ,                            ,-7.180959           ,
word_426 ,-0.7576911000000002         ,-3.695698           ,-2.9380069
word_428 ,                            ,                    ,
word_430 ,-0.4802035                  ,-1.8578603          ,-1.3776568
word_432 ,0.25579539999999934         ,-5.510398           ,-5.7661934
word_434 ,2.0343524000000004          ,-4.0503306          ,-6.084683
word_436 ,                            ,-7.8140345          ,
word_438 ,2.2408494999999995          ,-4.6403685          ,-6.881218
word_440 ,                            ,                    ,
word_442 ,                            ,                    ,
word_444 ,                            ,                    ,
word_446 ,                            ,                    ,
word_448 ,                            ,                    ,
word_450 ,-0.7828293000000002         ,-1.8081784          ,-1.0253491
word_452 ,1.114855                    ,-3.319174           ,-4.434029
word_454 ,-1.1450395999999996         ,-5.994545           ,-4.8495054
word_456 ,0.15305286999999998         ,-0.16024089         ,-0.31329376
word_458 ,                            ,                    ,
word_460 ,                            ,-0.896704689631     ,
word_462 ,                            ,-4.7506227132603    ,
word_464 ,-15.62512545177735          ,-15.62561397984     ,-0.00048852806265
word_466 ,                            ,                    ,
word_468 ,                            ,-0.04853282881633   ,
word_470 ,0.51967074                  ,-0.61150306         ,-1.1311738
word_472 ,                            ,-12.205799          ,
word_474 ,                            ,-2.3136756          ,
word_476 ,0.19319892                  ,-0.14523414         ,-0.33843306
word_478 ,4.9175899                   ,-1.8112214          ,-6.7288113
word_480 ,                            ,-25.877529292912648 ,
word_482 ,                            ,                    ,
word_484 ,                            ,                    ,
word_486 ,-93.0121033966              ,-93.0159557323      ,-0.0038523357
word_488 ,                            ,                    ,
word_490 ,0.291599805                 ,-0.023265395        ,-0.3148652
word_492 ,                            ,                    ,
word_494 ,4.5616727                   ,-1.3168323          ,-5.878505
word_496 ,4.81838874085               ,-5.025915e-05       ,-4.818439
word_498 ,4.8202205000000005          ,-0.6357025          ,-5.455923
summary  ,"mean: 0.1806, std: 9.7681" ,                    ,
